randomization1,covidtest,covidtestresult,randomization2,treatment
Navigation,Yes,Positive,,Brief Counseling
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Positive,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
